Indicators,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Output of Soja(10000 tons),794,932.5,903,976,969.5,1050,1161.4,1218.4,1164.5,1022.7,1100,971.3,1030.4,1530.7,1599.9,1350.2,1322.42,1473.15,1515.18,1424.53,1540.9,1540.56,1650.54,1539.32,1740.15,1634.78,1508.18,1279.34,1570.9,1522.42,1540.99,1487.85,1343.59,1240.71,1268.57,1236.74,1359.55,1528.25,1596.71
Output of Tubers(10000 tons),2872.5,2597,2704.5,2924.5,2847.5,2603.6,2533.7,2822.3,2696.5,2730.4,2743.26,2715.9,2844.2,3181.1,3025.4,3262.6,3536,3192.29,3604.21,3640.56,3685.16,3563.07,3665.87,3513.27,3557.67,3468.51,2701.26,2741.76,2842.98,2792.92,2842.72,2924.3,2882.96,2855.45,2798.76,2729.35,2726.32,2798.62,2865.37
Output of Cotton(10000 tons),270.67,296.76,359.85,463.69,625.84,414.67,354.04,424.51,414.87,378.79,450.77,567.5,450.84,373.93,434.1,476.75,420.33,460.27,450.1,382.88,441.73,532.35,491.62,485.97,632.35,571.42,753.28,759.71,723.23,623.58,577.04,651.89,660.8,628.16,629.94,590.74,534.28,565.25,610.28
Output of Oil-bearing Crops(10000 tons),769.05,1020.52,1181.73,1054.96,1190.95,1578.42,1473.76,1527.78,1320.27,1295.22,1613.16,1638.31,1641.15,1803.94,1989.59,2250.34,2210.61,2157.38,2313.86,2601.15,2954.83,2864.9,2897.2,2811,3065.91,3077.14,2640.31,2786.99,3036.76,3139.42,3156.77,3212.51,3285.62,3348,3371.92,3390.47,3400.05,3475.24,3433.39
Output of Peanuts(10000 tons),360.03,382.63,391.64,395.06,481.54,666.36,588.15,617.1,569.28,536.25,636.85,630.33,595.33,842.11,968.22,1023.46,1013.85,964.79,1188.62,1263.85,1443.66,1441.57,1481.76,1341.99,1434.18,1434.15,1288.69,1381.48,1463.54,1460.42,1513.56,1530.24,1579.23,1610.89,1590.08,1596.13,1636.06,1709.19,1733.2
Output of Rapeseeds(10000 tons),238.37,406.49,565.64,428.7,420.51,560.7,588.09,660.52,504.43,543.62,695.81,743.62,765.31,693.94,749.19,977.71,920.11,957.76,830.1,1013.18,1138.06,1133.14,1055.22,1142,1318.17,1305.23,1096.61,1138.16,1240.32,1353.59,1278.81,1313.73,1340.15,1363.63,1391.43,1385.92,1312.8,1327.41,1328.12
Output of Sesame(10000 tons),25.86,50.95,34.22,34.87,47.55,69.14,61.82,52.58,40.45,33.76,46.93,43.5,51.63,56.29,54.75,58.27,57.54,56.58,65.61,74.31,81.12,80.41,89.52,59.28,70.38,62.54,66.17,52,51.55,53.53,46.2,45.76,46.58,43.9,43.66,45.03,35.2,36.65,43.15
Output of Helianthus(10000 tons),90.97,133.16,128.63,134.04,170.4,173.21,154.43,124.13,117.96,106.41,133.87,142.2,147.3,128.23,136.74,126.95,132.31,117.61,146.51,176.47,195.41,147.78,194.6,174.35,155.15,192.79,144,146.02,199.32,198.56,235.53,240.2,226.72,244.83,258.21,287.2,320.1,314.94,249.42
Output of Benne(10000 tons),27.18,23.58,33.56,33.28,42.79,53.52,48.49,44.42,52.17,39.94,53.51,51.46,51.97,49.6,51.14,36.38,55.34,39.32,52.34,40.35,34.37,25.26,40.89,45.05,42.6,36.21,37.36,26.89,34.56,29.48,31.44,30.8,33.11,33,32.26,31.19,32.5,30.1,33.52
Output of Sugar Crops(10000 tons),2911.27,3602.84,4359.39,4032.3,4780.36,6046.78,5852.51,5550.41,6187.46,5803.8,7214.47,8418.74,8807.98,7624.2,7345.24,7940.14,8360.24,9386.47,9790.41,8334.12,7635.33,8655.13,10292.68,9641.65,9570.65,9451.91,10459.97,12082.35,13005.96,11746.9,11303.36,11663.11,12451.81,12555.01,12088.73,11215.22,11176.03,11378.84,11937.41
